"","Map","est.percentage","lci.percentage","uci.percentage"
"733","Aberdeen City",44.7695824277899,20.6461815514018,73.7164966749264
"734","Aberdeenshire",55.4597986299512,29.6212298458683,86.4490023648339
"735","Adur",48.7693856213026,24.0587142362084,78.4020593345807
"736","Allerdale",35.9329956802993,13.3196055089461,63.0589802323442
"737","Amber Valley",55.753952383452,29.9189634550782,86.7263487785963
"738","Angus",62.8363597198071,35.743844977392,95.3361498726854
"739","Antrim and Newtownabbey",49.3564390901819,24.4537891854663,79.2419985257007
"740","Ards and North Down",43.3389524435803,19.5427949750496,71.8719667873856
"741","Argyll and Bute",38.1014950572407,15.1766886369089,65.5892625735149
"742","Armagh City, Banbridge and Craigavon",43.3580740729347,19.5675420334803,71.8822437292083
"743","Arun",36.8940159276834,14.1150014667399,64.2200530687528
"744","Ashfield",58.9432470170591,32.5758905052846,90.5546753338145
"745","Ashford",39.3528542748062,16.2099871767564,67.1045532859287
"746","Aylesbury Vale",57.6674156750697,31.4931184725788,89.0518245701142
"747","Babergh",54.0893024880608,28.4240907784812,84.8836382436399
"748","Barking and Dagenham",62.5615951694988,35.5788425614899,94.9144256196668
"749","Barnet",55.9093633909457,29.9558212889047,87.0461003738451
"750","Barnsley",38.4779186606304,15.4345992163675,66.1211983820982
"751","Barrow-in-Furness",40.4544473979359,17.1779135464657,68.3546941295965
"752","Basildon",38.9630930162566,15.8915460674009,66.6276952540951
"753","Basingstoke and Deane",41.1078627783855,17.6545023242807,69.2364384237806
"754","Bassetlaw",41.1656273559734,17.7533478800534,69.2328473505861
"755","Bath and North East Somerset",64.8022774284315,37.4002569396862,97.6691401495695
"756","Bedford",44.8976194904359,20.8770410885057,73.6915459290773
"757","Belfast",42.8296224377485,19.1348573638267,71.237045958843
"758","Bexley",59.1342265662718,32.6627287869699,90.8878423985262
"759","Birmingham",47.826336669418,23.2884518622656,77.2479537460107
"760","Blaby",24.7331696486082,3.82987759348936,49.844765025169
"761","Blackburn with Darwen",44.2761458139951,20.3554024168145,72.9511582608699
"762","Blackpool",19.4056371178758,-0.722553384894531,43.614755028928
"763","Bolsover",51.9537847887232,26.7238148189259,82.2068941391211
"764","Bolton",41.4516368511009,17.9686013260144,69.6092463837956
"765","Boston",25.6766538013548,4.80521754422669,50.7045324727313
"766","Bournemouth, Christchurch and Poole",44.8494989180889,20.8037039399632,73.6815731018374
"767","Bracknell Forest",62.1527328840244,35.1844119627668,94.5010404675923
"768","Braintree",47.8136907293762,23.2916775745134,77.2129927734574
"769","Breckland",37.0772187016061,14.355243077361,64.3139691833496
"770","Brent",56.0847814807404,30.0742081253867,87.2966159932797
"771","Brentwood",85.1169533126285,54.245025330524,122.167854881012
"772","Bridgend",73.9332047329052,45.0507167456763,108.566771591361
"773","Brighton and Hove",39.8395423282839,16.5641252530962,67.7625732284597
"774","Bristol, City of",59.0582578734191,32.5880638149207,90.8130239615129
"775","Broadland",49.3315318513655,24.5436043071954,79.0530033968756
"776","Bromley",64.6292396097603,37.2543223079584,97.4639929639313
"777","Bromsgrove",59.0296844519695,32.5546034720408,90.792623375222
"778","Broxbourne",60.3569701285675,33.7093074537812,92.3153919386118
"779","Broxtowe",49.1506690803582,24.4017316755996,78.823250990821
"780","Burnley",30.6303774023895,8.95293721587276,56.6207936779213
"781","Bury",80.4044751808156,50.4134865644506,116.375375696913
"782","Caerphilly",59.2070209648052,32.8165586361525,90.8412308281908
"783","Calderdale",36.3036162035538,13.6972256711609,63.4048296297007
"784","Cambridge",54.8801624721933,28.9908043281444,85.9656961777631
"785","Camden",71.24528916234,42.5857285661626,105.665387098584
"786","Cannock Chase",59.0458310139501,32.6034882197144,90.7610176966462
"787","Canterbury",32.8427568435687,10.7068149957141,59.4048030962026
"788","Cardiff",69.5151301044449,41.3960251729853,103.226217279953
"789","Carlisle",46.6924472144919,22.2957346492258,75.9560472938597
"790","Carmarthenshire",55.4090290505139,29.6160076438181,86.3347494608268
"791","Causeway Coast and Glens",42.208197629962,18.5700448762095,70.5588582198472
"792","Central Bedfordshire",54.4075343896149,28.7733120589608,85.1446258162857
"793","Ceredigion",29.7575126571476,7.82492688601109,56.1513888970158
"794","Charnwood",55.3481663863699,29.550526089956,86.2829393903813
"795","Chelmsford",50.2346682783029,25.2776987836923,80.1633951758841
"796","Cheltenham",84.7313152203027,54.0663638567511,121.499735365679
"797","Cherwell",73.6597643474429,44.8591466273405,108.186465648538
"798","Cheshire East",45.3251982260158,21.1179499621043,74.3706300019004
"799","Cheshire West and Chester",48.3061431406127,23.7003392730218,77.8064007140584
"800","Chesterfield",54.2341659317472,28.6722959581503,84.8741235518068
"801","Chichester",53.9814909106139,28.4287039198299,84.618382179239
"802","Chiltern",98.5163090654961,65.4343975693407,138.21360940653
"803","Chorley",48.3886471499733,23.7365318697588,77.9522204984378
"804","City of Edinburgh",56.3021597616258,30.3021677799725,87.4900898609897
"805","Colchester",48.4904912207954,23.8117242543254,78.0883524221075
"806","Conwy",54.9102635930908,29.1746231459988,85.7732516034377
"807","Copeland",45.0526469897938,20.9590143752576,73.9454517500563
"808","Corby",35.4161773873611,12.8582816783321,62.4829017906792
"809","Cornwall and Isles of Scilly",46.114641091132,21.8651637675271,75.1894280626177
"810","Cotswold",61.415575716809,34.4102208142643,93.8467768756452
"811","County Durham",34.7839468164439,12.4220361646262,61.5938737563462
