"","Map","est.percentage","lci.percentage","uci.percentage"
"1102","Aberdeen City",-37.2706773772573,-47.635776270633,-24.8538861753178
"1103","Aberdeenshire",-28.4767254673901,-40.1015127879161,-14.5958597960205
"1104","Adur",-41.3293383030916,-50.6662781650007,-30.2252816954303
"1105","Allerdale",-27.830279693935,-39.7303631851931,-13.5805555779284
"1106","Amber Valley",-32.1286399253537,-42.8311470335009,-19.4225302879225
"1107","Angus",-17.1628474525428,-31.2108256275228,-0.246021197832424
"1108","Antrim and Newtownabbey",37.2004555375817,14.7381536892766,64.0602048617348
"1109","Ards and North Down",-47.0008323572688,-55.7647662477418,-36.5005781012983
"1110","Argyll and Bute",4.11237549928689,-15.6045351081805,28.435654048458
"1111","Armagh City, Banbridge and Craigavon",-58.6865648832436,-65.4634760954984,-50.579857837865
"1112","Arun",-39.5376083907715,-49.2038018330842,-28.0319998143344
"1113","Ashfield",-36.0692991383324,-46.1404699753547,-24.1149243078464
"1114","Ashford",-26.1493915161245,-37.5829931197356,-12.6213728271047
"1115","Aylesbury Vale",-29.8370253156955,-41.0578998544063,-16.4800201487498
"1116","Babergh",-27.9635592238595,-39.2893366243275,-14.5249201514444
"1117","Barking and Dagenham",-19.2426556879654,-31.7715335982467,-4.41308438723876
"1118","Barnet",-12.4340611814124,-25.9887413393993,3.60307039694383
"1119","Barnsley",-37.6879785907961,-47.35834280374,-26.2411516106878
"1120","Barrow-in-Furness",-35.9714622604054,-46.198127533607,-23.8009114342348
"1121","Basildon",-25.1086267291262,-36.6659249162743,-11.4423352202934
"1122","Basingstoke and Deane",-21.9715696555581,-34.1161560302058,-7.58833159751889
"1123","Bassetlaw",-35.5969218583137,-45.7271854283213,-23.5757992862861
"1124","Bath and North East Somerset",-42.4337519930364,-52.1897916962734,-30.6869175606387
"1125","Bedford",-51.2571352006935,-59.4684390278007,-41.3823003147327
"1126","Belfast",-11.1098394880966,-24.9787722767095,5.322998244921
"1127","Bexley",-16.3670903513367,-29.3274256836486,-1.03001561833316
